t_sec,x_m,y_m,theta_rad
8.996564081,0.00593910803297379,-0.00036797769228952726,-0.014206647426392502
9.006493805,0.005941009000113662,-0.00036806407853957917,-0.014211359846650265
9.016677451,0.005942985519537804,-0.00036821541548886724,-0.01421581352618595
9.026562904,0.005944886480376242,-0.00036830179868458854,-0.014220525856814614
9.036523222,0.005946862993549214,-0.0003684531324729641,-0.01422497944299995
9.046489637,0.005948763948086493,-0.000368539512614558,-0.01422969168400153
9.056488887,0.005950740455008484,-0.0003686908432421511,-0.014234145176838468
9.066614433,0.005952641403244689,-0.000368777220329727,-0.014238857328215204
9.076604669,0.005954617903915842,-0.00036892854779666917,-0.014243310727706085
9.086596053,0.0059565188458512155,-0.0003690149218303772,-0.01424802278946014
9.096633856,0.005958495340271688,-0.0003691662461368233,-0.014252476095606871
9.106817986,0.005960396275906342,-0.00036925261711681444,-0.014257188067740017
9.11732929,0.005962372764076358,-0.00036940393826288457,-0.014261641280544779
9.126954251,0.005964273693410579,-0.0003694903061892737,-0.01426635316305946
9.136940231,0.0059662501753303355,-0.00036964162417511934,-0.014270806282524221
9.147507091,0.005968151098364389,-0.00036972798904809064,-0.014275518075422437
9.157303891,0.005970127574034054,-0.00036987930387383846,-0.014279971101549362
9.167705251,0.005972028490768002,-0.0003699656656935151,-0.014284682804833236
9.177415455,0.005974004960187761,-0.0003701169773593179,-0.014289135737624538
9.187547345,0.005975905870621877,-0.0003702033361258468,-0.014293847351296244
9.197756729,0.00597788233379194,-0.00037035464463181775,-0.014298300190753885
9.207485551,0.005979783237926418,-0.0003704410003453182,-0.014303011714815444
9.217499072,0.005981759694846911,-0.00037059230569158467,-0.014307464460941442
9.227997755,0.005983660592681869,-0.0003706786583522524,-0.014312175895394992
9.237909233,0.005985637043353019,-0.0003708299605390095,-0.01431662854819162
9.248198915,0.005987537934888663,-0.0003709163101469678,-0.014321339893039348
9.257655085,0.005989514379310617,-0.00037106760917432913,-0.014325792452508528
9.267854765,0.005991415264547219,-0.0003711539557297533,-0.014330503707752643
9.277562544,0.005993391702720246,-0.0003713052515978463,-0.01433495617389665
9.287455622,0.00599529258165794,-0.00037139159510085515,-0.01433966733953907
9.297598532,0.005997269013582115,-0.00037154288780985356,-0.014344119712359786
9.307593908,0.005999169886221089,-0.00037162922826056366,-0.01434883078840268
9.317690566,0.0060011463118966445,-0.0003717805178105406,-0.014353283067902354
9.327700741,0.006003047178237066,-0.000371866855209085,-0.014357994054347803
9.337683347,0.0060050235976641855,-0.00037201814160021875,-0.014362446240528338
9.347541605,0.006006924457706311,-0.000372104475946786,-0.014367157137378494
9.357510984,0.006008900870885157,-0.0003722557591792386,-0.01437160923024217
9.367949613,0.0060108017246291185,-0.0003723420904739579,-0.014376320037499061
9.377300477,0.00601277813155994,-0.0003724933705478382,-0.014380772037048002
9.38740177,0.006014678979005989,-0.00037257969879084707,-0.01438548275471389
9.397429487,0.006016655379688878,-0.00037273097570627407,-0.014389934660950086
9.407422516,0.006018556220837201,-0.00037281730089774715,-0.014394645289027093
